```csv
nome,idade,massa corporal,sexo
Ana Silva,23,58,F
Bruno Santos,30,82,M
Carla Oliveira,45,65,F
Daniel Souza,28,75,M
Elena Ferreira,35,60,F
Felipe Alves,40,88,M
Gabriela Pereira,22,55,F
Hugo Lima,50,90,M
Isabel Gomes,33,63,F
João Rodrigues,27,79,M
Karen Costa,31,59,F
Lucas Martins,38,85,M
Mariana Rocha,26,57,F
Nicolas Dias,42,92,M
Olivia Ribeiro,29,61,F
Pedro Cardoso,36,80,M
Quezia Mendes,44,66,F
Rafael Barbosa,25,77,M
Sofia Araújo,32,56,F
Thiago Nascimento,48,89,M
Amanda Correia,24,54,F
Bernardo Machado,37,83,M
Camila Teixeira,41,64,F
Diego Moreira,34,86,M
Eduarda Freitas,21,52,F
Fabio Castro,46,91,M
Giulia Ramos,30,58,F
Henrique Duarte,39,84,M
Igor Azevedo,28,76,M
Julia Nunes,35,62,F
Kevin Lopes,43,87,M
Larissa Cunha,27,55,F
Matheus Pinto,31,81,M
Natalia Moura,49,67,F
Otavio Carvalho,36,78,M
Patricia Gomes,25,59,F
Quentin Silva,40,85,M
Roberta Santos,33,63,F
Sergio Oliveira,47,93,M
Tatiana Souza,29,60,F
Uilson Ferreira,38,82,M
Vanessa Alves,26,57,F
William Pereira,44,88,M
Ximena Lima,32,61,F
Yuri Gomes,35,79,M
Zileide Rodrigues,51,68,F
Andre Costa,28,74,M
Bianca Martins,34,56,F
Caio Rocha,41,86,M
Daiane Dias,30,62,F
